"fips","location","population","density"
"31017","Brown County, Nebraska",2955,2.4194428544
"31001","Adams County, Nebraska",31363,55.679831279
"31161","Sheridan County, Nebraska",5246,2.1491544553
"31109","Lancaster County, Nebraska",319090,380.97565271
"31011","Boone County, Nebraska",5192,7.5624083429
"31129","Nuckolls County, Nebraska",4148,7.2119658497
"31149","Rock County, Nebraska",1357,1.3458392551
"31007","Banner County, Nebraska",745,0.9983775724
"31063","Frontier County, Nebraska",2627,2.6953783193
"31163","Sherman County, Nebraska",3001,5.3037264658
"31055","Douglas County, Nebraska",571327,1750.3315009
"31147","Richardson County, Nebraska",7865,14.252296288
"31093","Howard County, Nebraska",6445,11.320165882
"31089","Holt County, Nebraska",10067,4.1730281313
"31065","Furnas County, Nebraska",4676,6.5022866052
"31073","Gosper County, Nebraska",1990,4.3435071587
"30073","Pondera County, Montana",5911,3.6385085471
"31151","Saline County, Nebraska",14224,24.777834741
"31153","Sarpy County, Nebraska",187196,786.03485862
"31173","Thurston County, Nebraska",7224,18.354415058
"31177","Washington County, Nebraska",20729,53.157082836
"31015","Boyd County, Nebraska",1919,3.554133884
"31031","Cherry County, Nebraska",5689,0.954496825
"31053","Dodge County, Nebraska",36565,69.112622959
"31059","Fillmore County, Nebraska",5462,9.4930130495
"31069","Garden County, Nebraska",1837,1.0771377764
"31091","Hooker County, Nebraska",682,0.9456983962
"31123","Morrill County, Nebraska",4642,3.2602041376
"31127","Nemaha County, Nebraska",6972,17.114383308
"31159","Seward County, Nebraska",17284,30.246948434
"31171","Thomas County, Nebraska",722,1.0127640743
"31043","Dakota County, Nebraska",20026,75.777798743
"31181","Webster County, Nebraska",3487,6.0652647493
"31003","Antelope County, Nebraska",6298,7.3475479016
"31029","Chase County, Nebraska",3924,4.387207494
"31023","Butler County, Nebraska",8016,13.704882904
"31035","Clay County, Nebraska",6203,10.838920036
"31005","Arthur County, Nebraska",463,0.6472314918
"31041","Custer County, Nebraska",10777,4.1842776759
"31061","Franklin County, Nebraska",2979,5.1735299796
"31067","Gage County, Nebraska",21513,25.265967619
"31081","Hamilton County, Nebraska",9324,17.20619293
"31095","Jefferson County, Nebraska",7046,12.357694844
"31099","Kearney County, Nebraska",6495,12.58128098
"31101","Keith County, Nebraska",8034,7.5678204537
"31115","Loup County, Nebraska",664,1.1783048481
"31119","Madison County, Nebraska",35099,61.295214342
"31135","Perkins County, Nebraska",2891,3.2728226159
"31137","Phelps County, Nebraska",9034,16.736150368
"31155","Saunders County, Nebraska",21578,28.797915551
"31157","Scotts Bluff County, Nebraska",35618,48.170429466
"31179","Wayne County, Nebraska",9385,21.189121524
"31103","Keya Paha County, Nebraska",806,1.0425883086
"31105","Kimball County, Nebraska",3632,3.8157442794
"31107","Knox County, Nebraska",8332,7.5168493371
"31111","Lincoln County, Nebraska",34914,13.616300202
"31121","Merrick County, Nebraska",7755,15.961657454
"54055","Mercer County, West Virginia",58758,140.24667584
"54097","Upshur County, West Virginia",24176,68.17101728
"54101","Webster County, West Virginia",8114,14.660226516
"54003","Berkeley County, West Virginia",119171,371.07751753
"54019","Fayette County, West Virginia",42406,64.09488481
"55051","Iron County, Wisconsin",5687,7.5005740842
"55019","Clark County, Wisconsin",34774,28.746068785
"55109","St. Croix County, Wisconsin",90687,125.52631489
"55083","Oconto County, Wisconsin",37930,38.025778939
"55069","Lincoln County, Wisconsin",27593,31.401931117
"55135","Waupaca County, Wisconsin",50990,68.196382028
"55005","Barron County, Wisconsin",45244,52.42390731
"55113","Sawyer County, Wisconsin",16558,13.166078145
"55047","Green Lake County, Wisconsin",18913,54.10763675
"55099","Price County, Wisconsin",13351,10.646262077
"55077","Marquette County, Wisconsin",15574,34.175105158
"55075","Marinette County, Wisconsin",40350,28.83243346
"55079","Milwaukee County, Wisconsin",945726,3916.3431575
"55101","Racine County, Wisconsin",196311,590.2498348
"55139","Winnebago County, Wisconsin",171907,395.46405314
"55033","Dunn County, Wisconsin",45368,53.3640464
"55041","Forest County, Wisconsin",9004,8.8775525395
"55045","Green County, Wisconsin",36960,63.282897589
"55043","Grant County, Wisconsin",51439,44.85129779
"55107","Rusk County, Wisconsin",14178,15.519620134
"55115","Shawano County, Wisconsin",40899,45.788020945
"55117","Sheboygan County, Wisconsin",115340,225.48135799
"55067","Langlade County, Wisconsin",19189,22.038632187
"55078","Menominee County, Wisconsin",4556,12.739971429
"55087","Outagamie County, Wisconsin",187885,294.6853283
"55123","Vernon County, Wisconsin",30822,38.938207058
"55011","Buffalo County, Wisconsin",13031,19.282602889
"55021","Columbia County, Wisconsin",57532,75.151541441
"55061","Kewaunee County, Wisconsin",20434,59.669323314
"55063","La Crosse County, Wisconsin",118016,261.23077678
"55009","Brown County, Wisconsin",264542,499.04876688
"55035","Eau Claire County, Wisconsin",104646,164.04190404
"55073","Marathon County, Wisconsin",135692,87.816412897
"55085","Oneida County, Wisconsin",35595,31.954080063
"55095","Polk County, Wisconsin",43783,47.885862798
"55121","Trempealeau County, Wisconsin",29649,40.448593978
"55129","Washburn County, Wisconsin",15720,19.721141206
"55133","Waukesha County, Wisconsin",404198,735.27858448
"55027","Dodge County, Wisconsin",87839,100.30751685
"55127","Walworth County, Wisconsin",103868,187.00830568
"55125","Vilas County, Wisconsin",22195,25.877126818
"55023","Crawford County, Wisconsin",16131,28.267875038
"55057","Juneau County, Wisconsin",26687,34.790346726
"55071","Manitowoc County, Wisconsin",78981,134.02408587
"55111","Sauk County, Wisconsin",64442,77.496909458
"55131","Washington County, Wisconsin",136034,315.88521545
"55013","Burnett County, Wisconsin",15414,18.761847345
"55017","Chippewa County, Wisconsin",64658,64.122230779
"55025","Dane County, Wisconsin",546695,456.91738082
"55029","Door County, Wisconsin",27668,57.40694055
"55031","Douglas County, Wisconsin",43150,33.083066459
"55039","Fond du Lac County, Wisconsin",103403,143.7019072
"55053","Jackson County, Wisconsin",20643,20.895524299
"55049","Iowa County, Wisconsin",23678,31.045033631
"55091","Pepin County, Wisconsin",7287,31.408579617
"55089","Ozaukee County, Wisconsin",89221,382.89278435
"55097","Portage County, Wisconsin",70772,88.368284175
"55103","Richland County, Wisconsin",17252,29.432762407
"55105","Rock County, Wisconsin",163354,227.46671712
"55119","Taylor County, Wisconsin",20343,20.863517704
"55137","Waushara County, Wisconsin",24443,39.036243568
"55001","Adams County, Wisconsin",20220,31.317458753
"55007","Bayfield County, Wisconsin",15036,10.174075545
"55065","Lafayette County, Wisconsin",16665,26.302579724
"55081","Monroe County, Wisconsin",46253,51.34067194
"55093","Pierce County, Wisconsin",42754,74.481945647
"55141","Wood County, Wisconsin",72999,92.052392838
"55003","Ashland County, Wisconsin",15562,14.892202742
"55015","Calumet County, Wisconsin",50089,157.37345546
"55037","Florence County, Wisconsin",4295,8.799013496
"55055","Jefferson County, Wisconsin",84769,152.32759668
"55059","Kenosha County, Wisconsin",169561,623.74150741
"56005","Campbell County, Wyoming",46341,9.650222492
"56023","Lincoln County, Wyoming",19830,4.8658553535
"56019","Johnson County, Wyoming",8445,2.0329058227
"56025","Natrona County, Wyoming",79858,14.953176216
"56021","Laramie County, Wyoming",99500,37.045810193
"56009","Converse County, Wyoming",13822,3.2484416241
"56027","Niobrara County, Wyoming",2356,0.8971725038
"56039","Teton County, Wyoming",23464,5.8706283557
"56037","Sweetwater County, Wyoming",42343,4.0609072002
"31139","Pierce County, Nebraska",7148,12.469282269
"31165","Sioux County, Nebraska",1166,0.5641847968
"31021","Burt County, Nebraska",6459,13.139109944
"31025","Cass County, Nebraska",26248,47.094049154
"31039","Cuming County, Nebraska",8846,15.505024462
"31051","Dixon County, Nebraska",5636,11.837592757
"31057","Dundy County, Nebraska",1693,1.8408607909
"31075","Grant County, Nebraska",623,0.8019369864
"31077","Greeley County, Nebraska",2356,4.1347027685
"31079","Hall County, Nebraska",61353,112.28771136
"31085","Hayes County, Nebraska",922,1.2930155474
"31131","Otoe County, Nebraska",16012,26.007704072
"31145","Red Willow County, Nebraska",10724,14.956643484
"31027","Cedar County, Nebraska",8402,11.350329765
"31045","Dawes County, Nebraska",8589,6.1504484647
"31097","Johnson County, Nebraska",5071,13.48410132
"31033","Cheyenne County, Nebraska",8910,7.4480483993
"31047","Dawson County, Nebraska",23595,23.290165082
"31071","Garfield County, Nebraska",1969,3.4584500432
"31117","McPherson County, Nebraska",494,0.5751044011
"31125","Nance County, Nebraska",3519,7.968788082
"31133","Pawnee County, Nebraska",2613,6.0615950811
"31167","Stanton County, Nebraska",5920,13.844441815
"31175","Valley County, Nebraska",4158,7.3189816923
"31183","Wheeler County, Nebraska",783,1.3613051506
"32001","Churchill County, Nevada",24909,5.0315934926
"32005","Douglas County, Nevada",48905,68.907305178
"32015","Lander County, Nevada",5532,1.0023106655
"32027","Pershing County, Nevada",6725,1.1140398122
"32009","Esmeralda County, Nevada",873,0.2437261341
"32011","Eureka County, Nevada",2029,0.4859079236
"32013","Humboldt County, Nevada",16831,1.7458110839
"32021","Mineral County, Nevada",4505,1.2004236421
"32033","White Pine County, Nevada",9580,1.0780196709
"32007","Elko County, Nevada",52778,3.0732329381
"32017","Lincoln County, Nevada",5183,0.487427051
"32023","Nye County, Nevada",46523,2.5587515174
"32029","Storey County, Nevada",4123,15.619160642
"32031","Washoe County, Nevada",471519,74.652791386
"32003","Clark County, Nevada",2266715,287.22956575
"32510","Carson City, Nevada",55916,386.53062391
"32019","Lyon County, Nevada",57510,28.737262348
"33005","Cheshire County, New Hampshire",76085,107.66103741
"33013","Merrimack County, New Hampshire",151391,162.28312683
"33009","Grafton County, New Hampshire",89886,52.607970005
"33015","Rockingham County, New Hampshire",309769,445.46308918
"33001","Belknap County, New Hampshire",61303,152.5541781
"33019","Sullivan County, New Hampshire",43146,80.265104847
"33011","Hillsborough County, New Hampshire",417025,475.76907022
"33017","Strafford County, New Hampshire",130633,355.49211654
"33007","Coos County, New Hampshire",31563,17.588023557
"33003","Carroll County, New Hampshire",48910,52.486314757
"34025","Monmouth County, New Jersey",618795,1321.6980276
"34021","Mercer County, New Jersey",367430,1637.0943852
"34037","Sussex County, New Jersey",140488,270.81851695
"34011","Cumberland County, New Jersey",149527,309.34872587
"34035","Somerset County, New Jersey",328934,1089.6673742
"34013","Essex County, New Jersey",798975,6336.819561
"34029","Ocean County, New Jersey",607186,966.33708117
"34001","Atlantic County, New Jersey",263670,474.6408252
"34015","Gloucester County, New Jersey",291636,905.76706199
"34023","Middlesex County, New Jersey",825062,2668.2428893
"34033","Salem County, New Jersey",62385,187.98501269
"34031","Passaic County, New Jersey",501826,2697.8238848
"34009","Cape May County, New Jersey",92039,365.9844659
"34007","Camden County, New Jersey",506471,2288.1000494
"34003","Bergen County, New Jersey",932202,4004.5571387
"34039","Union County, New Jersey",556341,5413.6512622
"34041","Warren County, New Jersey",105267,295.24915188
"34017","Hudson County, New Jersey",672391,14555.938983
"34019","Hunterdon County, New Jersey",124371,290.70129177
"34005","Burlington County, New Jersey",445349,557.17907045
"34027","Morris County, New Jersey",491845,1067.0035589
"35023","Hidalgo County, New Mexico",4198,1.2208692786
"35029","Luna County, New Mexico",23709,7.995808434
"35031","McKinley County, New Mexico",71367,13.093231143
"35043","Sandoval County, New Mexico",146748,39.553538726
"35055","Taos County, New Mexico",32723,14.858065134
"35017","Grant County, New Mexico",26998,6.8156016916
"35009","Curry County, New Mexico",48954,34.829990059
"35007","Colfax County, New Mexico",11941,3.1775091604
"35015","Eddy County, New Mexico",58460,13.997886242
"35021","Harding County, New Mexico",625,0.2940514703
"35033","Mora County, New Mexico",4521,2.3470481057
"35045","San Juan County, New Mexico",123958,22.467540524
"35037","Quay County, New Mexico",8253,2.8716526292
"56031","Platte County, Wyoming",8393,4.0322880951
"56033","Sheridan County, Wyoming",30485,12.08110855
"56003","Big Horn County, Wyoming",11790,3.7584190299
"56011","Crook County, Wyoming",7584,2.6568762127
"56029","Park County, Wyoming",29194,4.2072108313
"56001","Albany County, Wyoming",38880,9.0961689364
"56007","Carbon County, Wyoming",14800,1.8739388557
"56015","Goshen County, Wyoming",13211,5.9358922451
"56041","Uinta County, Wyoming",20226,9.7160005674
